"StandStroom","Soort","Instrument","Looptijd","Definitie","Periode","waarde"
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1982-12",102984
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-01",104493
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-02",105000
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-03",108079
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-04",109515
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-05",111132
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-06",111090
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-07",109040
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-08",108189
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-09",107999
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-10",107682
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-11",109552
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1983-12",108118
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-01",109366
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-02",110894
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-03",112241
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-04",115096
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-05",117622
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-06",117787
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-07",117263
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-08",117225
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-09",116891
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-10",115709
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-11",117933
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1984-12",116879
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-01",117566
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-02",120866
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-03",123766
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-04",125402
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-05",126290
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-06",126416
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-07",125018
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-08",124638
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-09",125143
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-10",125209
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-11",126556
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1985-12",126263
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-01",126993
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-02",127678
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-03",130724
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-04",131735
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-05",135009
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-06",135219
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-07",134258
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-08",133356
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-09",133830
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-10",135485
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-11",134769
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1986-12",135157
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-01",135418
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-02",135758
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-03",137085
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-04",139294
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-05",141808
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-06",141986
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-07",141444
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","01 ","1987-08",139739
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","02 ","1987-08",139739
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","02 ","1987-09",140557
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","02 ","1987-10",141179
"Standen ","Aanvullende gegevens ","M3 (inclusief chartaal geld in omloop) ","nvt ","02 ","1987-11",141410
