"Instrument","InstrumentSub","Sector","Periode","waarde"
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-01",22284
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-02",22162
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-03",22877
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-04",22575
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-05",21868
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-06",22477
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-07",22798
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-08",22606
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-09",22656
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-10",22937
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-11",23037
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2003-12",23944
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-01",24073
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-02",24167
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-03",24760
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-04",25682
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-05",25269
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-06",25579
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-07",25703
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-08",26463
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-09",26840
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-10",26989
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-11",27535
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2004-12",27758
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-01",27637
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-02",27661
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-03",28115
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-04",28289
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-05",27815
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-06",28090
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-07",28032
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-08",28289
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-09",28077
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-10",28546
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-11",28491
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2005-12",29740
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-01",29441
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-02",29303
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-03",29226
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-04",29431
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-05",29015
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-06",28950
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-07",28960
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-08",29231
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-09",29445
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-10",29883
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-11",31160
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2006-12",30649
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-01",30625
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-02",30372
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-03",30313
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-04",30004
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-05",29495
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-06",29498
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-07",29911
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-08",30176
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-09",29670
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-10",29386
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-11",29187
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2007-12",30898
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-01",30086
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-02",30032
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-03",30292
"Consumptief krediet ","Uitstaande bedragen (mln euro's) ","Huishoudens ","2008-04",30526
