"Instrument","StandStroom","Periode","waarde"
"Deposito's met opzegtermijn ","Beginstand ","1998-02",101547
"Deposito's met opzegtermijn ","Beginstand ","1998-03",102163
"Deposito's met opzegtermijn ","Beginstand ","1998-04",102342
"Deposito's met opzegtermijn ","Beginstand ","1998-05",102587
"Deposito's met opzegtermijn ","Beginstand ","1998-06",103403
"Deposito's met opzegtermijn ","Beginstand ","1998-07",104729
"Deposito's met opzegtermijn ","Beginstand ","1998-08",105399
"Deposito's met opzegtermijn ","Beginstand ","1998-09",105193
"Deposito's met opzegtermijn ","Beginstand ","1998-10",105200
"Deposito's met opzegtermijn ","Beginstand ","1998-11",105681
"Deposito's met opzegtermijn ","Beginstand ","1998-12",106164
"Deposito's met opzegtermijn ","Beginstand ","1999-01",106905
"Deposito's met opzegtermijn ","Beginstand ","1999-02",110256
"Deposito's met opzegtermijn ","Beginstand ","1999-03",110832
"Deposito's met opzegtermijn ","Beginstand ","1999-04",110614
"Deposito's met opzegtermijn ","Beginstand ","1999-05",111177
"Deposito's met opzegtermijn ","Beginstand ","1999-06",112838
"Deposito's met opzegtermijn ","Beginstand ","1999-07",114232
"Deposito's met opzegtermijn ","Beginstand ","1999-08",115534
"Deposito's met opzegtermijn ","Beginstand ","1999-09",115845
"Deposito's met opzegtermijn ","Beginstand ","1999-10",115829
"Deposito's met opzegtermijn ","Beginstand ","1999-11",114883
"Deposito's met opzegtermijn ","Beginstand ","1999-12",114831
"Deposito's met opzegtermijn ","Beginstand ","2000-01",114509
"Deposito's met opzegtermijn ","Beginstand ","2000-02",116570
"Deposito's met opzegtermijn ","Beginstand ","2000-03",116473
"Deposito's met opzegtermijn ","Beginstand ","2000-04",115850
"Deposito's met opzegtermijn ","Beginstand ","2000-05",115489
"Deposito's met opzegtermijn ","Beginstand ","2000-06",116698
"Deposito's met opzegtermijn ","Beginstand ","2000-07",116988
"Deposito's met opzegtermijn ","Beginstand ","2000-08",115535
"Deposito's met opzegtermijn ","Beginstand ","2000-09",114538
"Deposito's met opzegtermijn ","Beginstand ","2000-10",113449
"Deposito's met opzegtermijn ","Beginstand ","2000-11",112211
"Deposito's met opzegtermijn ","Beginstand ","2000-12",110410
"Deposito's met opzegtermijn ","Beginstand ","2001-01",108932
"Deposito's met opzegtermijn ","Beginstand ","2001-02",112715
"Deposito's met opzegtermijn ","Beginstand ","2001-03",113157
"Deposito's met opzegtermijn ","Beginstand ","2001-04",114141
"Deposito's met opzegtermijn ","Beginstand ","2001-05",114970
"Deposito's met opzegtermijn ","Beginstand ","2001-06",115898
"Deposito's met opzegtermijn ","Beginstand ","2001-07",117914
"Deposito's met opzegtermijn ","Beginstand ","2001-08",119337
"Deposito's met opzegtermijn ","Beginstand ","2001-09",120956
"Deposito's met opzegtermijn ","Beginstand ","2001-10",123680
"Deposito's met opzegtermijn ","Beginstand ","2001-11",127490
"Deposito's met opzegtermijn ","Beginstand ","2001-12",129906
"Deposito's met opzegtermijn ","Beginstand ","2002-01",131350
"Deposito's met opzegtermijn ","Beginstand ","2002-02",136085
"Deposito's met opzegtermijn ","Beginstand ","2002-03",136770
"Deposito's met opzegtermijn ","Beginstand ","2002-04",137651
"Deposito's met opzegtermijn ","Beginstand ","2002-05",138402
"Deposito's met opzegtermijn ","Beginstand ","2002-06",140968
"Deposito's met opzegtermijn ","Beginstand ","2002-07",142561
"Deposito's met opzegtermijn ","Beginstand ","2002-08",143300
"Deposito's met opzegtermijn ","Beginstand ","2002-09",144161
"Deposito's met opzegtermijn ","Beginstand ","2002-10",144940
