"","gdp_convertedTo_Monthly_SeasonallyAdjusted"
"1996-01-01",45125.1224496072
"1996-02-01",45210.2806124018
"1996-03-01",45380.596937991
"1996-04-01",45636.0714263747
"1996-05-01",45890.1364786896
"1996-06-01",46142.7920949357
"1996-07-01",46394.0382751129
"1996-08-01",46579.0711138225
"1996-09-01",46697.8906110646
"1996-10-01",46750.4967668391
"1996-11-01",46829.0257306534
"1996-12-01",46933.4775025075
"1997-01-01",47063.8520824013
"1997-02-01",47216.8066655738
"1997-03-01",47392.3412520248
"1997-04-01",47590.4558417544
"1997-05-01",47810.892607871
"1997-06-01",48053.6515503746
"1997-07-01",48318.7326692652
"1997-08-01",48544.7034470389
"1997-09-01",48731.5638836958
"1997-10-01",48879.3139792359
"1997-11-01",49070.766018694
"1997-12-01",49305.9200020701
"1998-01-01",49584.7759293642
"1998-02-01",49795.1579641646
"1998-03-01",49937.0661064712
"1998-04-01",50010.5003562842
"1998-05-01",50118.9836515243
"1998-06-01",50262.5159921916
"1998-07-01",50441.0973782861
"1998-08-01",50581.4196910952
"1998-09-01",50683.4829306187
"1998-10-01",50747.2870968568
"1998-11-01",50930.5228157737
"1998-12-01",51233.1900873695
"1999-01-01",51655.288911644
"1999-02-01",51971.3469339796
"1999-03-01",52181.3641543763
"1999-04-01",52285.3405728341
"1999-05-01",52444.829247823
"1999-06-01",52659.8301793429
"1999-07-01",52930.3433673938
"1999-08-01",53181.4641388612
"1999-09-01",53413.192493745
"1999-10-01",53625.5284320453
"1999-11-01",53819.4660925864
"1999-12-01",53995.0054753683
"2000-01-01",54152.146580391
"2000-02-01",54326.0719213534
"2000-03-01",54516.7814982555
"2000-04-01",54724.2753110974
"2000-05-01",54904.1922809848
"2000-06-01",55056.5324079177
"2000-07-01",55181.2956918962
"2000-08-01",55342.7647439687
"2000-09-01",55540.9395641351
"2000-10-01",55775.8201523956
"2000-11-01",55953.925185164
"2000-12-01",56075.2546624404
"2001-01-01",56139.8085842249
"2001-02-01",56206.8406265023
"2001-03-01",56276.3507892728
"2001-04-01",56348.3390725362
"2001-05-01",56406.3318389499
"2001-06-01",56450.3290885138
"2001-07-01",56480.3308212279
"2001-08-01",56509.8331384855
"2001-09-01",56538.8360402865
"2001-10-01",56567.339526631
"2001-11-01",56564.4607532439
"2001-12-01",56530.1997201251
"2002-01-01",56464.5564272749
"2002-02-01",56439.7282836061
"2002-03-01",56455.715289119
"2002-04-01",56512.5174438134
