,Bankruptcies_Bankruptcies,ConsumerConsumption_Domestic_consumption_by_households_VolumeChangesShoppingdayAdjusted_3,ConsumerConsumption_Consumption_of_goods_by_households_VolumeChangesShoppingdayAdjusted_3,"ConsumerConsumption_Foodproducts,_beverages_and_tabacco_VolumeChangesShoppingdayAdjusted_3",ConsumerConsumption_Durable_consumer_goods_VolumeChangesShoppingdayAdjusted_3,ConsumerConsumption_Textiles_and_clothing_VolumeChanges_2,ConsumerConsumption_Leather_goods_and_footwear_VolumeChanges_2,ConsumerConsumption_Home_furnishing_and_home_decoration_VolumeChanges_2,ConsumerConsumption_Electrical_equipment_VolumeChanges_2,ConsumerConsumption_Vehicles_VolumeChanges_2,ConsumerConsumption_Other_goods_VolumeChangesShoppingdayAdjusted_3,"ConsumerConsumption_Electricity,_gas,_water_and_motor_fuels_VolumeChanges_2",ConsumerConsumption_Personal_care_and_other_goods_VolumeChanges_2,ConsumerConsumption_Consumption_of_services_by_households_VolumeChangesShoppingdayAdjusted_3,ConsumerConfidence_Consumentenvertrouwen_1,ConsumerConfidence_EconomischKlimaat_2,ConsumerConfidence_Koopbereidheid_3,ConsumerConfidence_EconomischeSituatieLaatste12Maanden_4,ConsumerConfidence_EconomischeSituatieKomende12Maanden_5,ConsumerConfidence_FinancieleSituatieLaatste12Maanden_6,ConsumerConfidence_FinancieleSituatieKomende12Maanden_7,ConsumerConfidence_GunstigeTijdVoorGroteAankopen_8,CPI_CPI_1,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_allGenders_15 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_allGenders_15 to 24 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_25 to 44 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_allGenders_45 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_female_15 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,Employment_Employment_female_15 to 24 years_SeasonallyAdjusted_6_Unemployed_Labor_Force,Employment_Employment_female_15 to 24 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_25 to 44 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_6_Unemployed_Labor_Force,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_8_UnemplyRate,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_12_Gross_Labor_Particp,Employment_Employment_female_45 to 74 years_SeasonallyAdjusted_14_Net_Labor_Particp,ProducerConfidence_ProducerConfidence_1,ProducerConfidence_ExpectedActivity_2,BusinessInterestRates_BigBusinessInterestRate,BusinessInterestRates_Deposit rate,BusinessInterestRates_Main refinancing operations: Variable rate tenders weighted average interest rate,BusinessInterestRates_Marginal lending rate,BusinessInterestRates_Main refinancing operations: Variable rate tenders marginal interest rate,BusinessInterestRates_Main refinancing operations: Fixed rate tenders,BusinessInterestRates_Main refinancing operations: Variable rate tenders minimum bid rate,BusinessInterestRates_Rente op uitstaande bedragen (percentages),BusinessInterestRates_HousingInterestRatesNLD,MoneySupply_M3_1,MoneySupply_M3_2,MoneySupply_M1,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M1,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M12,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M3,InternationalMoneyMarketIntRates_EuropeanArea_MoneyMarketIntRates_Intr_M6,LeadingEconomicIndicators_ConsumLeadIndicator_NLD,LeadingEconomicIndicators_BusinessLeadIndicator_NLD,LeadingEconomicIndicators_BusinessLeadIndicator_DEU,LeadingEconomicIndicators_ConsumLeadIndicator_DEU,InternationalUnemploymentIndicators_Germany_unemply_F,InternationalUnemploymentIndicators_Germany_unemply_M,InternationalUnemploymentIndicators_France_unemply_F,InternationalUnemploymentIndicators_France_unemply_M,InternationalUnemploymentIndicators_Italy_unemply_F,InternationalUnemploymentIndicators_Italy_unemply_M,InternationalUnemploymentIndicators_Spain_unemply_F,InternationalUnemploymentIndicators_Spain_unemply_M,InternationalUnemploymentIndicators_Belgium_unemply_F,InternationalUnemploymentIndicators_Belgium_unemply_M,InternationalUnemploymentIndicators_Japan_unemply_F,InternationalUnemploymentIndicators_Japan_unemply_M,InternationalUnemploymentIndicators_United States_unemply_F,InternationalUnemploymentIndicators_United States_unemply_M,"InternationalEnergyIndicators_Crude oil, average","InternationalEnergyIndicators_Crude oil, Brent","InternationalEnergyIndicators_Crude oil, Dubai","InternationalEnergyIndicators_Crude oil, WTI","InternationalEnergyIndicators_Coal, Australian","InternationalEnergyIndicators_Coal, South African **","InternationalEnergyIndicators_Natural gas, US","InternationalEnergyIndicators_Natural gas, Europe","InternationalEnergyIndicators_Liquefied natural gas, Japan",InternationalEnergyIndicators_Natural gas index,InternationalMetals_Aluminum,"InternationalMetals_Iron ore, cfr spot",InternationalMetals_Copper,InternationalMetals_Lead,InternationalMetals_Tin,InternationalMetals_Nickel,InternationalMetals_Zinc,InternationalMetals_Gold,InternationalMetals_Platinum,InternationalMetals_Silver
1995-01-01,514.0,,,,,,,,,,,,,,2.0,7.0,-1.0,-1.0,15.0,-4.0,6.0,-6.0,,,,,,,,,,,,,,,,,,,,3.5,11.6,,,,,,,,,,225019.0,208446.0,58686.0,6.37,7.66,6.66,7.06,100.8806,100.8639,100.7038,99.80259,9.8,7.0,11.7,9.3,15.4,8.7,28.9,16.9,12.6,7.6,3.0,2.9,5.6,5.6,16.9,16.63,16.08,17.99,37.1,34.0,1.51,2.66,3.36,33.25843988593,2060.55,28.38,3008.93,666.6,6199.3,9592.55,1156.5,378.55,413.9,4.7731
1995-02-01,453.0,,,,,,,,,,,,,,8.0,16.0,2.0,10.0,23.0,-1.0,10.0,-3.0,,,,,,,,,,,,,,,,,,,,3.5,10.4,,,,,,,,,,227807.0,211192.0,60214.0,6.36,7.5,6.59,6.92,100.9999,100.8999,100.657,99.73992,9.8,6.9,11.7,9.2,15.4,8.7,28.6,16.7,12.6,7.6,3.0,2.9,5.5,5.4,17.41666666667,17.08,16.64,18.53,37.6,34.5,1.58,2.66,3.4,34.13557575765,1916.15,28.38,2877.65,579.9,5478.3,8505.45,1032.2,376.64,413.97,4.7215
1995-03-01,565.0,,,,,,,,,,,,,,12.0,23.0,5.0,19.0,26.0,3.0,12.0,0.0,,,,,,,,,,,,,,,,,,,,3.1,10.7,,,,,,,,,,225759.0,209071.0,59592.0,7.42,8.02,7.58,7.74,101.0782,100.8983,100.5136,99.8495,9.7,6.8,11.6,9.3,15.5,8.8,28.2,16.4,12.6,7.6,3.2,3.0,5.5,5.3,17.34666666667,17.01,16.49,18.54,38.35,34.75,1.54,2.65,3.46,33.64295076015,1805.07,28.38,2924.04,585.6,5532.4,7531.91,1022.2,382.12,416.89,4.6485
1995-04-01,478.0,,,,,,,,,,,,,,11.0,18.0,6.0,16.0,20.0,3.0,12.0,1.0,,,,,,,,,,,,,,,,,,,,3.5,11.2,,,,,,,,,,225604.0,208766.0,60887.0,7.14,7.63,7.29,7.39,101.0469,100.8186,100.3139,99.96301,9.7,6.9,11.8,9.3,15.3,8.5,27.7,16.3,12.6,7.5,3.1,3.1,5.9,5.6,18.64666666667,18.67,17.4,19.87,37.1,35.0,1.62,2.71,3.45,34.89288400053,1849.0,28.38,2903.5,608.5,5872.1,7397.83,1061.4,391.03,448.29,5.4777
1995-05-01,443.0,,,,,,,,,,,,,,12.0,20.0,7.0,18.0,21.0,5.0,11.0,4.0,,,,,,,,,,,,,,,,,,,,3.1,13.5,,,,,,,,,,230172.0,213286.0,64992.0,7.01,7.25,7.04,7.09,101.043,100.703,100.1639,100.0336,9.6,6.9,11.7,9.4,15.3,8.5,27.6,16.3,12.6,7.5,3.1,2.9,5.5,5.8,18.42333333333,18.38,17.25,19.64,38.77,35.0,1.64,2.71,3.53,35.18995098713,1762.69,28.38,2773.31,596.5,5926.5,7232.19,1036.2,385.22,437.35,5.5598
1995-06-01,455.0,,,,,,,,,,,,,,9.0,14.0,6.0,13.0,15.0,4.0,12.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,6.0,,,,,,,,,,228130.0,211055.0,63261.0,7.05,7.24,7.08,7.11,101.0161,100.599,100.0042,100.0798,9.6,7.0,11.7,9.4,15.3,8.6,27.8,16.3,12.6,7.5,3.3,3.0,5.7,5.6,17.36333333333,17.35,16.24,18.5,40.77,34.89,1.62,2.73,3.56,35.06248779812,1780.05,28.38,2994.64,611.8,6670.7,7871.57,1009.6,387.56,438.53,5.3637
1995-07-01,476.0,,,,,,,,,,,,,,10.0,13.0,8.0,14.0,12.0,7.0,13.0,4.0,,,,,,,,,,,,,,,,,,,,-0.1,6.1,,,,,,,,,,228742.0,211923.0,62137.0,6.86,7.16,6.92,6.99,101.0252,100.5499,99.83002,100.0576,9.6,7.1,11.9,9.5,15.4,8.6,27.9,16.4,12.6,7.5,3.2,3.1,5.8,5.6,16.08333333333,15.86,14.97,17.42,41.05,36.15,1.44,2.8,3.48,33.15525920301,1860.1,28.38,3075.67,621.9,6668.9,8596.57,1026.8,386.23,433.63,5.1648
1995-08-01,506.0,,,,,,,,,,,,,,14.0,19.0,10.0,19.0,20.0,9.0,15.0,6.0,,,,,,,,,,,,,,,,,,,,-1.6,3.5,,,,,,,,,,229502.0,212709.0,62548.0,6.63,6.83,6.66,6.71,101.148,100.5096,99.68758,99.92953,9.6,7.2,11.8,9.5,15.4,8.6,27.9,16.5,12.7,7.6,3.4,3.1,5.6,5.7,16.46666666667,16.07,15.37,17.96,40.88,35.7,1.56,2.8,3.46,34.59891407807,1888.32,28.38,3036.84,623.6,6992.3,8944.66,1014.4,383.67,425.34,5.3982
1995-09-01,510.0,,,,,,,,,,,,,,14.0,18.0,11.0,17.0,19.0,9.0,15.0,7.0,,,,,,,,,,,,,,,,,,,,-2.0,5.8,,,,,,,,,,229220.0,212315.0,63230.0,6.48,6.59,6.5,6.54,101.2525,100.471,99.56871,99.78293,9.6,7.3,11.8,9.6,15.4,8.6,27.9,16.6,12.7,7.6,3.4,3.1,5.7,5.6,16.82,16.78,15.65,18.03,40.93,35.93,1.64,2.78,3.46,35.47530446817,1760.83,28.38,2915.52,592.7,6328.1,8405.21,986.2,383.06,429.65,5.4295
1995-10-01,528.0,,,,,,,,,,,,,,17.0,25.0,12.0,23.0,26.0,10.0,17.0,9.0,,,,,,,,,,,,,,,,,,,,-2.0,6.4,,,,,,,,,,232289.0,215714.0,63527.0,6.69,6.76,6.75,6.78,101.3136,100.4586,99.49506,99.59262,9.6,7.4,12.0,9.7,15.3,8.6,27.8,16.5,12.8,7.7,3.3,3.2,5.7,5.4,16.12333333333,16.12,14.92,17.33,40.97,35.75,1.77,2.75,3.45,36.90454884217,1674.32,28.38,2813.55,639.1,6220.7,8061.73,979.1,383.14,412.66,5.3741
