"date","InternationalGDP_Germany_GDP","InternationalGDP_France_GDP","InternationalGDP_Italy_GDP","InternationalGDP_Spain_GDP","InternationalGDP_Belgium_GDP","NonFinancialCorporations_GrossValueAdded_12","NonFinancialCorporations_GrossOperatingSurplus_13","NonFinancialCorporations_GrossProfitsBeforeTaxes_14","NonFinancialCorporations_ProfitsFromForeignSubsidiaries_15","NonFinancialCorporations_ratios_ProfitRatio_16","NonFinancialCorporations_ratios_CapitalFormationRatio_17","FinancialCorporations_GrossValueAdded_19","FinancialCorporations_GrossProfitsBeforeTaxes_20","FinancialCorporations_ProfitsFromForeignSubsidiaries_21","FinancialCorporations_FinancialNetWorth_22","FinancialCorporations_PropertyIncomeReceived_23","FinancialCorporations_PropertyIncomePaid_24","FinancialCorporations_FinancialAssetsOfPensionFunds_26","MacroComponents_GrossDomesticProduct_2_seasonCorrected_expenditure","MacroComponents_Total_3_seasonCorrected_expenditure","MacroComponents_ImportsOfGoods_4_seasonCorrected_expenditure","MacroComponents_ImportsOfServices_5_seasonCorrected_expenditure","MacroComponents_HouseholdsIncludingNPISHs_9_seasonCorrected_expenditure","MacroComponents_GeneralGovernment_10_seasonCorrected_expenditure","MacroComponents_Total_11_seasonCorrected_expenditure","MacroComponents_EnterprisesAndHouseholds_12_seasonCorrected_expenditure","MacroComponents_GeneralGovernment_13_seasonCorrected_expenditure","MacroComponents_ChangesInInventoriesInclValuables_14_seasonCorrected_expenditure","MacroComponents_ExportsOfGoods_16_seasonCorrected_expenditure","MacroComponents_ExportsOfServices_17_seasonCorrected_expenditure","SectorProduction_AAgricultureForestryAndFishing_20_seasonCorrected_production","SectorProduction_BMiningAndQuarrying_22_seasonCorrected_production","SectorProduction_DElectricityAndGasSupply_35_seasonCorrected_production","SectorProduction_EWaterSupplyAndWasteManagement_36_seasonCorrected_production","SectorProduction_FConstruction_37_seasonCorrected_production","SectorProduction_JInformationAndCommunication_43_seasonCorrected_production","SectorProduction_KFinancialInstitutions_44_seasonCorrected_production","SectorProduction_LRentingBuyingSellingRealEstate_45_seasonCorrected_production","SectorProduction_RUCultureRecreationOtherServices_59_seasonCorrected_production","SectorProduction_TaxesLessSubsidiesOnProducts_60_seasonCorrected_production","SectorProduction_TaxesOnProducts_61_seasonCorrected_production","BusinessConfidence_All.enterprises..no.finance.or.energy._BusinessConfidence","BusinessConfidence_A.Agriculture..forestry.and.fishing_BusinessConfidence","BusinessConfidence_B.Mining.and.quarrying_BusinessConfidence","BusinessConfidence_C.Industry..H.S.services.and.45.47_BusinessConfidence","BusinessConfidence_C.Manufacturing_BusinessConfidence","BusinessConfidence_F.Construction_BusinessConfidence","BusinessConfidence_G.Wholesale.and.retail.trade_BusinessConfidence","BusinessConfidence_X45.Sale.and.repair.of.motor.vehicles_BusinessConfidence","BusinessConfidence_X46.Wholesale.trade..no.motor.vehicles._BusinessConfidence","BusinessConfidence_X47.Retail.trade..not.in.motor.vehicles._BusinessConfidence","BusinessSituationNextThreeMonths_All.enterprises..no.finance.or.energy.BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_A.Agriculture..forestry.and.fishingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_B.Mining.and.quarryingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_C.Industry..H.S.services.and.45.47BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_C.ManufacturingBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_F.ConstructionBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_G.Wholesale.and.retail.tradeBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X45.Sale.and.repair.of.motor.vehiclesBusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X46.Wholesale.trade..no.motor.vehicles.BusinessSituationNextThreeMonths","BusinessSituationNextThreeMonths_X47.Retail.trade..not.in.motor.vehicles.BusinessSituationNextThreeMonths","BusinessSituationPastThreeMonths_All.enterprises..no.finance.or.energy.BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_A.Agriculture..forestry.and.fishingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_B.Mining.and.quarryingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_C.Industry..H.S.services.and.45.47BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_C.ManufacturingBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_F.ConstructionBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_G.Wholesale.and.retail.tradeBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X45.Sale.and.repair.of.motor.vehiclesBusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X46.Wholesale.trade..no.motor.vehicles.BusinessSituationPastThreeMonths","BusinessSituationPastThreeMonths_X47.Retail.trade..not.in.motor.vehicles.BusinessSituationPastThreeMonths","BeloningSeizoengecorrigeerd_BeloningSeizoengecorrigeerd_2"
Jan 1995,157883.944002474,111737.319205404,NA,54769.4760487342,19737.1425458002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13334.3559163879
Feb 1995,158118.411000618,111835.554801351,NA,54826.5190121835,19751.16063645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13384.588979097
Mar 1995,158587.344996907,112032.025993244,NA,54940.6049390823,19779.1968177498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13485.0551045151
Apr 1995,159290.745991341,112326.732781084,NA,55111.7338294303,19821.2510896993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13635.7542926422
May 1995,159739.261746444,112561.659892231,NA,55241.6906799446,19867.5513404122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13744.3633701923
Jun 1995,159932.892262216,112736.807326685,NA,55330.4754906251,19918.0975698885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13810.8823371654
Jul 1995,159871.637538657,112852.175084445,NA,55378.0882614718,19972.8897781281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13835.3111935614
Aug 1995,160003.370703775,112899.985710551,NA,55457.3252580796,20021.0954965919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13898.6850124894
Sep 1995,160328.091757569,112880.239205004,NA,55568.1864804486,20062.71472528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14001.0037939493
Oct 1995,160845.800700039,112792.935567802,NA,55710.6719285788,20097.7474641922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14142.2675379411
